Action,Vulnerability ID,Optimistic estimate,Most Likely estimate,Pessimistic estimate,CVSS,EPSS Score,Notes,Workaround
"Assess presence of vulnerability","CVE-2021-3864","N/A","N/A","N/A","7.0","0.004340000","",""
"Assess presence of vulnerability","CVE-2023-39176","N/A","N/A","N/A","5.8","0.002350000","",""
"Assess presence of vulnerability","CVE-2023-4458","N/A","N/A","N/A","4.0","0.001810000","",""
"Assess presence of vulnerability","CVE-2023-39179","N/A","N/A","N/A","7.5","0.001710000","",""
"Assess presence of vulnerability","CVE-2022-4543","N/A","N/A","N/A","5.5","0.001650000","",""
"Assess presence of vulnerability","CVE-2023-3640","N/A","N/A","N/A","7.0","0.001400000","",""
"Assess presence of vulnerability","CVE-2023-39180","N/A","N/A","N/A","4.0","0.001100000","",""
"Assess presence of vulnerability","CVE-2019-14899","N/A","N/A","N/A","7.4","0.000550000","",""
"Assess presence of vulnerability","CVE-2025-4056","N/A","N/A","N/A","3.7","0.000510000","",""
"Assess presence of vulnerability","CVE-2023-6240","N/A","N/A","N/A","6.5","0.000510000","",""
"Assess presence of vulnerability","CVE-2022-0400","N/A","N/A","N/A","7.5","0.000420000","",""
"Assess presence of vulnerability","CVE-2021-3714","N/A","N/A","N/A","5.9","0.000390000","",""
"Assess presence of vulnerability","CVE-2025-21833","N/A","N/A","N/A","5.5","0.000340000","",""
"Assess presence of vulnerability","CVE-2025-21751","N/A","N/A","N/A","7.8","0.000320000","",""
"Assess presence of vulnerability","CVE-2024-10041","N/A","N/A","N/A","4.7","0.000320000","",""
"Assess presence of vulnerability","CVE-2024-58097","N/A","N/A","N/A","5.5","0.000310000","",""
"Assess presence of vulnerability","CVE-2025-21949","N/A","N/A","N/A","5.5","0.000310000","",""
"Assess presence of vulnerability","CVE-2024-57995","N/A","N/A","N/A","7.8","0.000270000","",""
"Assess presence of vulnerability","CVE-2023-6535","N/A","N/A","N/A","6.5","0.000260000","",""
"Assess presence of vulnerability","CVE-2025-37925","N/A","N/A","N/A","5.5","0.000250000","",""
"Assess presence of vulnerability","CVE-2025-37860","N/A","N/A","N/A","5.5","0.000240000","",""
"Assess presence of vulnerability","CVE-2025-40014","N/A","N/A","N/A","7.8","0.000190000","",""
"Assess presence of vulnerability","CVE-2022-38096","N/A","N/A","N/A","6.3","0.000180000","",""
"Assess presence of vulnerability","CVE-2025-37803","N/A","N/A","N/A","7.8","0.000180000","",""
"Assess presence of vulnerability","CVE-2023-6238","N/A","N/A","N/A","6.7","0.000150000","",""
"Assess presence of vulnerability","CVE-2022-1247","N/A","N/A","N/A","7.0","0.000140000","",""
"Assess presence of vulnerability","CVE-2023-3397","N/A","N/A","N/A","7.0","0.000080000","",""
"Assess presence of vulnerability","CVE-2023-4010","N/A","N/A","N/A","4.6","0.000080000","",""
